Brain	Heart	Other
hg19,chr16,86430087,86430726	0.0645385211376	0.0645385211376	2.77258872224
hg19,chr16,85620095,85621736	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,80423343,80424652	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,80372593,80373755	0.0645385211376	0.0645385211376	2.77258872224
hg19,chr16,79969907,79971297	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,79949950,79951518	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,79026563,79028162	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,78933253,78934686	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,78832182,78833595	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,78643215,78644831	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,78510608,78511944	3.94831831425	0.000244170432174	0.489728134594
hg19,chr16,78436409,78437708	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,78387021,78388685	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,78209751,78211362	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,72980900,72982545	0.0645385211376	0.0645385211376	2.77258872224
hg19,chr16,72929878,72931288	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,72887593,72888513	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,72839562,72841124	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,72738568,72740149	0.0645385211376	0.0645385211376	2.77258872224
hg19,chr16,72275206,72276782	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,72254566,72255825	5.54517744448	0.00391389932114	0.00391389932114
hg19,chr16,55424416,55425738	0.0645385211376	0.0645385211376	2.77258872224
hg19,chr16,55418032,55418881	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,55223185,55224283	0.0645385211376	0.0645385211376	2.77258872224
hg19,chr16,55079237,55080429	0.0645385211376	0.0645385211376	2.77258872224
hg19,chr16,55074360,55075075	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,54799102,54800160	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,54784643,54785615	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,54679467,54680359	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,54665329,54667258	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,54657182,54658317	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,54650598,54651882	4.15888308336	0.0157483569681	0.0157483569681
hg19,chr16,54624504,54625510	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,54618981,54620264	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,54611467,54612437	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,54579726,54580655	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,54575878,54577925	0.0645385211376	0.0645385211376	2.77258872224
hg19,chr16,54616212,54617037	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,54523175,54524067	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,54540302,54541446	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,54385019,54385639	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,54350345,54351685	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,54323420,54324336	0.0645385211376	0.0645385211376	2.77258872224
hg19,chr16,54143854,54144867	0.0645385211376	0.0645385211376	2.77258872224
hg19,chr16,54139806,54140268	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,54092614,54094121	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,53929213,53929824	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,53760298,53761157	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,53726316,53727556	0.0645385211376	0.0645385211376	2.77258872224
hg19,chr16,53578034,53578985	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,52530541,52531971	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,52503834,52504926	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,52436255,52437376	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,51958288,51959688	0.0645385211376	0.0645385211376	2.77258872224
hg19,chr16,51817305,51818432	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,51786180,51787369	0.0645385211376	0.0645385211376	0.0645385211376
hg19,chr16,51757191,51758243	0.0645385211376	0.0645385211376	0.0645385211376
